i,GM_RAS,units
759,-30792.9550701885,0
760,-55174.5760067659,0
761,-40664.8398031057,0
762,-52718.4968260373,0
763,-61138.7737968035,0
764,-3546.96532573589,0
765,-3546.96532573589,0
766,-12736.2535407924,0
767,-47398.1312975197,0
768,-46951.8863153007,0
769,-69302.1272759951,0
770,31776.0341666866,14
772,-1720.26077638566,0
773,-10962.7708779244,0
774,-9445.60607337251,0
775,-37140.0776846398,0
776,0,0
777,-65363.749913853,0
778,-91128.181366875,0
779,-51557.0674780242,0
780,-76326.5207917774,0
781,-27155.8875254027,0
782,-30044.4010758688,0
783,0,0
784,37726.0509166239,0
785,-5625.54219445377,0
786,-31109.2364059497,0
787,14520.9233335715,0
788,-93383.4178722905,0
789,-163864.9361469,0
790,-146752.926531516,0
791,-147564.936585505,0
792,-171269.554569177,0
793,-179018.195156879,0
794,-169834.500506778,0
795,-98524.1677323927,0
797,-47035.6078839058,0
798,-138167.17916798,0
799,-15190.2621119657,0
800,-132593.326414001,0
801,-57180.5054850629,0
802,0,0
803,-54338.5261777249,0
804,-96597.5481625129,0
805,-40891.3769687073,0
806,-27528.7299441264,0
807,-6392.21680144308,0
808,17795.4962880173,9
809,54827.3676593468,19
810,1442.8450256635,90
811,-18672.0016113457,0
812,17434.1282630707,102
813,68304.3458370026,86
814,-17939.7371295417,0
815,-40420.2298759013,0
816,-32888.3126337732,0
817,-40462.4329658152,0
818,-10962.7708779244,0
819,-15821.370188582,0
820,-36768.1748536593,0
821,-2715.52102138437,0
822,-32215.1831092752,0
823,-13678.2918993088,0
824,-43177.9577677731,0
825,24741.7495696202,30
826,-33410.5410221214,0
827,-8442.7799921509,0
828,12261.1090228588,49
829,66859.6834430227,108
830,50156.6286637385,75
831,-34930.7041306595,0
832,13879.6654840828,66
833,9021.06617342518,62
834,-32416.7940038817,0
835,-67919.7035568197,0
836,79217.746972291,15
837,-14536.1226336052,0
838,-19587.1772201794,0
839,-37439.7493780867,0
840,-71779.6697740111,0
841,-31475.5515880492,0
842,-46307.1626924264,0
843,-54491.9794889052,0
844,-49171.5315003014,0
845,-27245.9897444526,0
846,-34661.7952966412,0
847,-34661.7952966412,0
848,-61038.2229886964,0
849,-43628.0217704508,0
850,-94976.2327815395,0
851,-19836.01743627,0
852,0,0
853,-14911.4565030643,0
854,-53397.056617108,0
855,-8234.34780242441,0
856,-36727.2023309463,0
857,-46282.1197159086,0
858,-43438.2081580042,0
859,-52964.9209709862,0
860,-48713.1559201196,0
861,-54400.9790359286,0
862,-68207.6614717575,0
863,-30044.4010758688,0
864,-19081.6301979444,0
865,-11459.2919851586,0
866,-27895.1061157273,0
867,-9183.69465010086,0
868,-56936.9527828703,0
869,-84199.7232221898,0
870,-122425.264539433,0
871,-109683.417433686,0
872,-158527.707463429,0
873,-76451.0826344877,0
874,-118867.112083787,0
875,-93383.4178722905,0
876,-83338.3559187524,0
877,-58208.9880819595,0
878,-51803.925306484,0
879,-128453.305772775,0
880,-172296.671995231,0
881,-174254.564529667,0
882,-74809.5697191661,0
883,-132853.345383728,0
884,0,0
885,-24734.1023405794,0
886,-52647.6491122926,0
887,-53293.7993431374,0
888,-39992.6176725424,0
889,-133388.035417358,0
890,-50233.7705772385,0
891,-60582.4871973853,0
892,-55196.8508813567,0
893,-66773.6760170589,0
894,15234.4384200249,29
895,-12639.3915377056,0
896,-22706.9411181966,0
897,69321.9414696479,135
898,53943.2790098533,97
899,179870.369656953,29
900,130630.432526872,38
901,91259.4398843243,25
902,-7034.93921478496,0
903,-2042.39149688627,0
904,-35603.8336551576,0
905,-32888.3126337732,0
906,-62488.661514051,0
907,-43147.788450905,0
908,-18536.8912099664,0
909,-10289.6413534263,0
910,8920.37938103813,25
911,-52098.3333682377,0
912,-26784.1410665064,0
913,-43177.9539871996,0
914,-13005.1623748107,0
915,22699.3580727339,54
916,44725.5866209697,93
917,57730.7489957804,70
918,-2715.52102138437,0
919,-24741.7495696202,0
920,-24641.0627772332,0
921,38364.4630799723,59
922,-25439.1946724758,0
923,673.129524498072,15
924,58025.3929602227,31
925,-60935.1122267673,0
926,-48905.2446774542,0
927,-55174.5760067659,0
928,-62590.3815589545,0
929,-52396.6219253205,0
930,-52718.4968260373,0
931,-43529.2086109808,0
932,-30023.9438258982,0
933,-29019.4724073206,0
934,-1773.48266286794,0
935,-34661.7952966412,0
936,-49847.5032267371,0
937,-10962.7708779244,0
938,-43628.0217704508,0
939,-58845.3385104797,0
940,25829.2627827316,8
941,-12542.2451279803,0
942,-71423.1319046333,0
943,-74467.320561866,0
944,-51557.0674780242,0
945,-76326.5207917774,0
946,-85853.2336047594,0
947,-72046.5511689305,0
948,-40594.2966000998,0
949,-54400.9790359286,0
950,-19081.6301979444,0
951,-85853.2336047594,0
952,-77869.5465463374,0
953,-40540.8975712295,0
954,4743.09413727204,0
955,-20490.48769345,0
956,-23704.6179836724,0
957,-55157.8765550467,0
958,-87413.8535124121,0
959,-129829.882961711,0
960,-94818.4719346894,0
961,-101934.776845984,0
962,-191760.042262627,0
963,-89192.9297402357,0
964,-139239.68840332,0
965,-14911.6148631264,0
966,-19605.0276028194,0
967,-185867.382831909,0
968,-176168.589745383,0
969,-185737.373347046,0
970,-174774.602469121,0
971,-141366.251895894,0
972,-152329.022773818,0
973,40517.7587758424,34
974,25090.0416387582,8
975,-14315.5225490182,0
976,-32249.4119685948,0
977,-14597.5098739913,0
978,-179018.195156879,0
979,-16539.9054398203,0
980,-11154.2691237918,0
981,-22731.0942594938,0
982,-40883.6371815696,0
983,-20863.1825223378,0
984,-21915.1376611323,0
985,24874.3556195549,134
986,64577.7459633641,128
987,66540.9905532406,100
988,51269.5478527159,108
989,41478.7799359213,68
990,-12863.1926476983,0
991,38822.5244704733,10
992,0,0
993,-25549.6103608404,0
994,-8247.24985654005,0
995,-68592.8330813178,0
996,-26784.1410665064,0
997,-32988.9994261602,0
998,-11059.4454896392,0
999,-5431.04204276873,0
1001,-10289.6413534263,0
1002,-2614.83422899735,0
1003,5531.72883515569,19
1004,13778.9786916958,29
1005,33089.6862185472,77
1006,-10862.0840855375,0
1007,14552.7950085808,81
1008,52299.7069530117,88
1009,-13678.2918993088,0
1010,-70735.911370591,0
1011,-13678.2918993088,0
1012,-16393.8129206931,0
1013,-29621.8421874695,0
1014,-10962.7708779244,0
1015,-2715.52102138437,0
1016,-35171.1361927774,0
1017,-32326.8783129936,0
1018,-49182.604223815,0
1019,-57997.5914708476,0
1020,-7093.93065147178,0
1021,-21603.666855132,0
1022,-46307.1626924264,0
1023,-53722.968244615,0
1024,-30023.9438258982,0
1025,-71779.6697740111,0
1026,-20834.6556108417,0
1027,-15514.2076222379,0
1028,-33570.9091516341,0
1029,-58215.3812083543,0
1030,-91733.6511442529,0
1031,-55096.7747607842,0
1032,-76799.2547753862,0
1033,-15507.2638695704,0
1034,20738.172261333,7
