i,stocking_dairy_temp,stocking_dairy_perm,stocking_dairy_rough,stocking_beef_temp,stocking_beef_perm,stocking_beef_rough,stocking_sheep_temp,stocking_sheep_perm,stocking_sheep_rough,herd_dairy,herd_beef,herd_sheep,ig_herd_dairy,ig_herd_beef,ig_herd_sheep,dairy,beef,sheep
105,3,0.450920496220108,0,0,0.815008860223717,0,0,0,44.6934064453423,1315.22905731201,919.991691589355,4471.76401519775,0,0,0,1315.22905731201,919.991691589355,4471.76401519775
106,3,0.446111150635869,0,0,0.796996835425113,0,0,0,42.10340168581,1194.74457550049,841.691604614258,4081.29346084595,0,0,0,1194.74457550049,841.691604614258,4081.29346084595
107,3,0.372501872157367,0,0,0.810397996525876,0,0,0.561553449900004,45,1373.32209777832,1154.03424835205,5435.38493728638,0,0,0,1373.32209777832,1154.03424835205,5435.38493728638
108,3,0.323023269336233,0,0,0.964364000671036,0,0,3.8254449134802,45,1135.57556152344,1207.65566253662,6230.34588241577,0,0,0,1135.57556152344,1207.65566253662,6230.34588241577
109,3,0.38128532611589,0,0,1.03462856591277,0,0,4.83297450862646,45,74.5960450172424,80.0590267181396,454.26139497757,0,-0,0,74.5960450172424,80.0590267181396,454.26139497757
110,3,0.880692958996704,0,0,0.541882582200935,0,0,3.75388440948488,45,103.482473373413,36.2908363342285,329.191154956818,0,0,0,103.482473373413,36.2908363342285,329.191154956818
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398.571051597595,0,0,398.571051597595
112,1.73575353403,0,0,0,0.911719103271697,0,0,0,30.7117734223223,0.769056066870689,1.78222894668579,7.3529202491045,0,0,0,0.769056066870689,1.78222894668579,7.3529202491045
113,1.60248923207991,0,0,0,0.842513818357953,0,0,0,31.9240781426214,355.957248687744,824.158340454102,3507.50293731689,0,0,0,355.957248687744,824.158340454102,3507.50293731689
114,1.57920276123511,0,0,0,0.830443110476908,0,0,0,32.3964748022946,479.631416320801,1110.50538635254,4789.77747344971,0,0,0,479.631416320801,1110.50538635254,4789.77747344971
115,1.91521055543531,0,0,0,0.841679904840435,0,0,0,31.4361540175245,422.190685272217,827.052993774414,3476.22699737549,0,0,0,422.190685272217,827.052993774414,3476.22699737549
116,3,0.356283910736299,0,0,0.765110949102885,0,0,0,44.3414578653792,781.713592529297,622.873489379883,3789.36242294312,0,0,0,781.713592529297,622.873489379883,3789.36242294312
117,3,0.432937755047924,0,0,0.751457746558665,0,0,3.91819219550851,45,660.888191223145,481.709136962891,5500.62675094604,0,0,0,660.888191223145,481.709136962891,5500.62675094604
118,3,0.469885671926337,0,0,0.766442563072827,0,0,7.95464251201063,45,495.265274047852,355.91898727417,5911.4253692627,0,0,0,495.265274047852,355.91898727417,5911.4253692627
119,3,0.383674657481778,0,0,0.780809410164407,0,0,0.852458894407972,45,1050.96739959717,839.793785095215,4873.15655517578,0,0,0,1050.96739959717,839.793785095215,4873.15655517578
120,3,0.304358722280099,0,0,0.962164157636937,0,0,3.76063232092194,45,1361.1946105957,1475.57164001465,7265.68837738037,0,0,0,1361.1946105957,1475.57164001465,7265.68837738037
121,3,0.302567568270879,0,0,0.961549653721659,0,0,3.99524581476655,45,845.664939880371,902.116271972656,4830.45823669434,0,0,0,845.664939880371,902.116271972656,4830.45823669434
